Regione,lat,lon,Abitanti
Abruzzo,42.35122196,13.39843823,1293941
Basilicata,40.63947052,15.80514834,553254
Calabria,46.49933453,11.35662422,1894110
Campania,38.90597598,16.59440194,5712143
Centro,40.83956555,14.25084984,11831092
Emilia-Romagna,44.49436681,11.3417208,4464119
Friuli-Venezia Giulia,45.6494354,13.76813649,1206216
Isole,41.89277044,12.48366722,6486911
Italia,44.41149315,8.9326992,59641488
Lazio,45.46679409,9.190347404,5755700
Liguria,43.61675973,13.5188753,1524826
Lombardia,41.55774754,14.65916051,10027602
Marche,45.0732745,7.680687483,1512672
Molise,41.12559576,16.86736689,300516
Nord,39.21531192,9.110616306,27616216
Nord-est,38.11569725,13.36235669,11627537
Nord-ovest,43.76923077,11.25588885,15988679
Piemonte,46.06893511,11.12123097,4311217
Provincia Autonoma Bolzano / Bozen,43.10675841,12.38824698,532644
Provincia Autonoma Trento,45.73750286,7.320149366,545425
Puglia,45.43490485,12.33845213,3953305
