,Unnamed: 0,Data Somministrazione,Totale,Sesso Maschile,Sesso Femminile,Categoria Operatori Sanitari Sociosanitari,Categoria Personale Non Sanitario,Categoria Altro,Categoria Ospiti Rsa,Categoria Over80,Categoria Forze Armate,Categoria Personale Scolastico,Prima Dose,Seconda Dose,Regione
0,360,2020-12-27,37,19,18,34,0,1,2,0,0,0,37,0,Abruzzo
1,953,2020-12-27,106,41,65,104,0,2,0,0,0,0,106,0,Basilicata
2,144,2020-12-27,275,150,125,274,0,1,0,0,0,0,275,0,Calabria
3,161,2020-12-27,720,422,298,703,14,3,0,0,0,0,720,0,Campania
4,1634,2020-12-27,968,372,596,824,1,117,26,0,0,0,968,0,Emilia-Romagna
5,1029,2020-12-27,262,149,113,259,0,3,0,0,0,0,262,0,Friuli-Venezia Giulia
6,2028,2020-12-27,272,131,141,272,0,0,0,0,0,0,272,0,Lazio
7,1652,2020-12-27,135,56,79,88,0,2,45,0,0,0,135,0,Liguria
8,480,2020-12-27,702,407,295,601,45,41,14,1,0,0,702,0,Lombardia
9,710,2020-12-27,200,97,103,184,4,8,4,0,0,0,200,0,Marche
10,399,2020-12-27,50,20,30,29,4,0,17,0,0,0,50,0,Molise
11,1791,2020-12-27,912,368,544,760,65,11,76,0,0,0,912,0,Piemonte
12,2027,2020-12-27,144,65,79,139,2,2,0,1,0,0,144,0,Provincia Autonoma Bolzano / Bozen
13,1015,2020-12-27,103,40,63,76,4,2,21,0,0,0,103,0,Provincia Autonoma Trento
14,911,2020-12-27,506,249,257,403,2,38,63,0,0,0,506,0,Puglia
15,1026,2020-12-27,65,34,31,65,0,0,0,0,0,0,65,0,Sardegna
16,1411,2020-12-27,90,54,36,62,0,2,26,0,0,0,90,0,Sicilia
17,1250,2020-12-27,620,267,353,460,10,137,13,0,0,0,620,0,Toscana
18,1921,2020-12-27,85,45,40,67,2,0,16,0,0,0,85,0,Umbria
19,530,2020-12-27,20,9,11,20,0,0,0,0,0,0,20,0,Valle d'Aosta / Vallée d'Aoste
20,1045,2020-12-27,880,395,485,875,0,4,0,0,0,1,880,0,Veneto
21,1114,2020-12-28,6,2,4,6,0,0,0,0,0,0,6,0,Calabria
22,942,2020-12-28,959,412,547,957,0,2,0,0,0,0,959,0,Lazio
23,1589,2020-12-28,80,30,50,77,0,3,0,0,0,0,80,0,Liguria
24,1228,2020-12-28,103,44,59,102,1,0,0,0,0,0,103,0,Lombardia
25,853,2020-12-28,1,1,0,1,0,0,0,0,0,0,1,0,Piemonte
26,72,2020-12-28,65,25,40,65,0,0,0,0,0,0,65,0,Sardegna
27,496,2020-12-28,207,124,83,205,0,2,0,0,0,0,207,0,Sicilia
28,727,2020-12-29,488,176,312,486,2,0,0,0,0,0,488,0,Lazio
29,79,2020-12-29,125,33,92,93,11,0,21,0,0,0,125,0,Liguria
30,1859,2020-12-29,100,43,57,100,0,0,0,0,0,0,100,0,Lombardia
31,1842,2020-12-29,57,32,25,56,1,0,0,0,0,0,57,0,Sardegna
32,1586,2020-12-29,235,146,89,235,0,0,0,0,0,0,235,0,Sicilia
33,1356,2020-12-30,630,246,384,601,0,29,0,0,0,0,630,0,Friuli-Venezia Giulia
34,434,2020-12-30,1630,629,1001,1603,0,0,27,0,0,0,1630,0,Lazio
35,839,2020-12-30,12,5,7,12,0,0,0,0,0,0,12,0,Liguria
36,241,2020-12-30,113,42,71,105,7,1,0,0,0,0,113,0,Lombardia
37,641,2020-12-30,17,5,12,14,0,3,0,0,0,0,17,0,Marche
38,431,2020-12-30,730,322,408,685,45,0,0,0,0,0,730,0,Piemonte
